dia,comida,plato,ingredientes_aprox,hora,proteina_aprox_g,batch,observaciones
lunes,desayuno,avena_yogur_platano,avena_50g+yogur_200g+platano,desayuno,20,si,
lunes,comida,arroz_pollo_verduras,arroz_80g+pollo_150g+verduras,comida,40,si,
lunes,snack,yogur_fruta,yogur_150g+manzana,snack,10,no,
lunes,cena,tortilla_verduras,2_huevos+verduras,cena,20,no,

martes,desayuno,huevos_pan,3_huevos+pan,desayuno,25,no,
martes,comida,lentejas_con_verduras,lentejas_80g+verduras+1_huevo,comida,30,si,
martes,snack,2_huevos_cocidos,2_huevos,snack,12,no,
martes,cena,atun_ensalada,atun+ensalada,cena,25,no,

miercoles,desayuno,avena_yogur_platano,avena_50g+yogur_200g+platano,desayuno,20,si,
miercoles,comida,arroz_pollo_verduras,arroz_80g+pollo_150g+verduras,comida,40,si,
miercoles,snack,yogur_fruta,yogur_150g+platano,snack,10,no,
miercoles,cena,huevos_verduras,3_huevos+verduras,cena,25,no,

jueves,desayuno,huevos_pan,3_huevos+pan,desayuno,25,no,
jueves,comida,garbanzos_con_huevo,garbanzos_80g+verduras+2_huevos,comida,30,si,
jueves,snack,fruta,manzana,snack,2,no,
jueves,cena,atun_ensalada,atun+ensalada,cena,25,no,

viernes,desayuno,avena_yogur_platano,avena_50g+yogur_200g+platano,desayuno,20,si,
viernes,comida,arroz_pollo_verduras,arroz_80g+pollo_150g+verduras,comida,40,si,
viernes,snack,2_huevos_cocidos,2_huevos,snack,12,no,
viernes,cena,tortilla_verduras,2_huevos+verduras,cena,20,no,

sabado,desayuno,avena_yogur,avena_50g+yogur_200g,desayuno,20,no,
sabado,comida,libre_controlado,libre,comida,?,no,
sabado,snack,fruta,platano,snack,2,no,
sabado,cena,ligera_proteica,huevos_o_atun+verduras,cena,20,no,

domingo,desayuno,huevos_pan,3_huevos+pan,desayuno,25,no,
domingo,comida,lentejas_con_verduras,lentejas_80g+verduras+1_huevo,comida,30,si,
domingo,snack,yogur_fruta,yogur_150g+manzana,snack,10,no,
domingo,cena,huevos_verduras,2_huevos+verduras,cena,20,no,
