categoria,producto,cantidad,precio_estimado_eur,precio_real_eur
proteina,huevos,30,6,
proteina,pollo_muslo_contramuslo_g,2000,9,
proteina,atun_lata,5,5,
proteina,lentejas_g,1000,2,
proteina,garbanzos_g,1000,2,
proteina,yogur_natural_g,1000,3,
carbohidratos,arroz_g,1200,2,
carbohidratos,patatas_g,2500,4,
carbohidratos,avena_g,500,1.5,
carbohidratos,pan_integral_paquete,1,1.5,
verduras,verduras_congeladas_g,1000,4,
verduras,zanahorias_g,1000,1.5,
verduras,cebollas_g,1000,1.5,
fruta,platanos_g,1000,1.5,
fruta,manzanas_g,1000,2.5,
grasas,aceite_oliva_ml,250,3,
grasas,frutos_secos_g,200,3
